code,industry_id,Description
48599,null,Other transit and ground passenger transportation
48611,null,Pipeline transportation of crude oil
48621,null,Pipeline transportation of natural gas
48691,null,Pipeline transportation of refined petroleum products
48699,null,All other pipeline transportation
48711,null,"Scenic and sightseeing transportation, land"
48721,null,"Scenic and sightseeing transportation, water"
48799,null,"Scenic and sightseeing transportation, other"
48811,null,Airport operations
48819,null,Other support activities for air transportation
48821,null,Support activities for rail transportation
48831,null,Port and harbor operations
48832,null,Marine cargo handling
48833,null,Navigational services to shipping
48839,null,Other support activities for water transportation
48841,null,Motor vehicle towing
48849,null,Other support activities for road transportation
48851,null,Freight transportation arrangement
48899,null,Other support activities for transportation
49211,null,Couriers and express delivery services
49221,null,Local messengers and local delivery
49311,null,General warehousing and storage
49312,null,Refrigerated warehousing and storage
49313,null,Farm product warehousing and storage
49319,null,Other warehousing and storage
51111,null,Newspaper publishers
51112,null,Periodical publishers
51113,null,Book publishers
51114,null,Directory and mailing list publishers
51119,null,Other publishers
51121,null,Software publishers
51211,null,Motion picture and video production
51212,null,Motion picture and video distribution
51213,null,Motion picture and video exhibition
51219,null,Postproduction services and other motion picture and video industries
51221,null,Record production
51222,null,Integrated record production/distribution
51223,null,Music publishers
51224,null,Sound recording studios
51229,null,Other sound recording industries
51511,null,Radio broadcasting
51512,null,Television broadcasting
51521,null,Cable and other subscription programming
51711,null,Wired telecommunications carriers
51721,null,Wireless telecommunications carriers (except satellite)
51741,null,Satellite telecommunications
51791,null,Other telecommunications
51821,null,"Data processing, hosting, and related services"
51911,null,News syndicates
51912,null,Libraries and archives
51913,null,Internet publishing and broadcasting and web search portals
51919,null,All other information services
52111,null,Monetary authorities - central bank
52211,null,Commercial banking
52212,null,Savings institutions
52213,null,Credit unions
52219,null,Other depository credit intermediation
52221,null,Credit card issuing
52222,null,Sales financing
52229,null,Other nondepository credit intermediation
52231,null,Mortgage and nonmortgage loan brokers
52232,null,"Financial transactions processing, reserve, and clearinghouse activities"
52239,null,Other activities related to credit intermediation
52311,null,Investment banking and securities dealing
52312,null,Securities brokerage
52313,null,Commodity contracts dealing
52314,null,Commodity contracts brokerage
52321,null,Securities and commodity exchanges
52391,null,Miscellaneous intermediation
52392,null,Portfolio management
52393,null,Investment advice
52399,null,All other financial investment activities
52411,null,"Direct life, health, and medical insurance carriers"
52412,null,"Direct insurance (except life, health, and medical) carriers"
52413,null,Reinsurance carriers
52421,null,Insurance agencies and brokerages
52429,null,Other insurance related activities
53111,null,Lessors of residential buildings and dwellings
53112,null,Lessors of nonresidential buildings (except miniwarehouses)
53113,null,Lessors of miniwarehouses and self-storage units
53119,null,Lessors of other real estate property
53121,null,Offices of real estate agents and brokers
53131,null,Real estate property managers
53132,null,Offices of real estate appraisers
53139,null,Other activities related to real estate
53211,null,Passenger car rental and leasing
53212,null,"Truck, utility trailer, and RV (recreational vehicle) rental and leasing"
53221,null,Consumer electronics and appliances rental
53222,null,Formal wear and costume rental
53223,null,Video tape and disc rental
53229,null,Other consumer goods rental
53231,null,General rental centers
53241,null,"Construction, transportation, mining, and forestry machinery and equipment rental and leasing"
53242,null,Office machinery and equipment rental and leasing
53249,null,Other commercial and industrial machinery and equipment rental and leasing
53311,null,Lessors of nonfinancial intangible assets (except copyrighted works)
54111,null,Offices of lawyers
54119,null,Other legal services
54121,null,"Accounting, tax preparation, bookkeeping, and payroll services"
54131,null,Architectural services
54132,null,Landscape architectural services
54133,null,Engineering services
54134,null,Drafting services
54135,null,Building inspection services
54136,null,Geophysical surveying and mapping services
54137,null,Surveying and mapping (except geophysical) services
54138,null,Testing laboratories
54141,null,Interior design services
54142,null,Industrial design services
54143,null,Graphic design services
54149,null,Other specialized design services
54151,null,Computer systems design and related services
54161,null,Management consulting services
54162,null,Environmental consulting services
54169,null,Other scientific and technical consulting services
54171,null,"Research and development in the physical, engineering, and life sciences"
54172,null,Research and development in the social sciences and humanities
54181,null,Advertising agencies
54182,null,Public relations agencies
54183,null,Media buying agencies
54184,null,Media representatives
54185,null,Display advertising
54186,null,Direct mail advertising
54187,null,Advertising material distribution services
54189,null,Other services related to advertising
54191,null,Marketing research and public opinion polling
54192,null,Photographic services
54193,null,Translation and interpretation services
54194,null,Veterinary services
54199,null,"All other professional, scientific, and technical services"
55111,null,Management of companies and enterprises
56111,null,Office administrative services
56121,null,Facilities support services
56131,null,Employment placement agencies and executive search services
56132,null,Temporary help services
56133,null,Professional employer organizations
56141,null,Document preparation services
56142,null,Telephone call centers
56143,null,Business service centers
56144,null,Collection agencies
56145,null,Credit bureaus
56149,null,Other business support services
56151,null,Travel agencies
56152,null,Tour operators
56159,null,Other travel arrangement and reservation services
56161,null,"Investigation, guard, and armored car services"
56162,null,Security systems services
56171,null,Exterminating and pest control services
56172,null,Janitorial services
56173,null,Landscaping services
56174,null,Carpet and upholstery cleaning services
56179,null,Other services to buildings and dwellings
56191,null,Packaging and labeling services
56192,null,Convention and trade show organizers
56199,null,All other support services
56211,null,Waste collection
56221,null,Waste treatment and disposal
56291,null,Remediation services
56292,null,Materials recovery facilities
56299,null,All other waste management services
61141,null,Business and secretarial schools
61142,null,Computer training
61143,null,Professional and management development training
61151,null,Technical and trade schools
61161,null,Fine arts schools
61162,null,Sports and recreation instruction
61163,null,Language schools
61169,null,All other schools and instruction
61171,null,Educational support services
62111,null,Offices of physicians
62121,null,Offices of dentists
62131,null,Offices of chiropractors
62132,null,Offices of optometrists
62133,null,Offices of mental health practitioners (except physicians)
62134,null,"Offices of physical, occupational and speech therapists, and audiologists"
62139,null,Offices of all other health practitioners
62141,null,Family planning centers
62142,null,Outpatient mental health and substance abuse centers
62149,null,Other outpatient care centers
62151,null,Medical and diagnostic laboratories
62161,null,Home health care services
62191,null,Ambulance services
62199,null,All other ambulatory health care services
62211,null,General medical and surgical hospitals
62221,null,Psychiatric and substance abuse hospitals
62231,null,Specialty (except psychiatric and substance abuse) hospitals
62311,null,Nursing care facilities
62321,null,Residential mental retardation facilities
62322,null,Residential mental health and substance abuse facilities
62331,null,Community care facilities for the elderly
62399,null,Other residential care facilities
62411,null,Child and youth services
62412,null,Services for the elderly and persons with disabilities
62419,null,Other individual and family services
62421,null,Community food services
62422,null,Community housing services
62423,null,Emergency and other relief services
62431,null,Vocational rehabilitation services
62441,null,Child day care services
71111,null,Theater companies and dinner theaters
71112,null,Dance companies
71113,null,Musical groups and artists
71119,null,Other performing arts companies
71121,null,Spectator sports
71131,null,"Promoters of performing arts, sports, and similar events with facilities"
71132,null,"Promoters of performing arts, sports, and similar events without facilities"
71141,null,"Agents and managers for artists, athletes, entertainers, and other public figures"
71151,null,"Independent artists, writers, and performers"
71211,null,Museums
71212,null,Historical sites
71213,null,Zoos and botanical gardens
71219,null,Nature parks and other similar institutions
71311,null,Amusement and theme parks
71312,null,Amusement arcades
71321,null,Casinos (except casino hotels)
71329,null,Other gambling industries
71391,null,Golf courses and country clubs
71392,null,Skiing facilities
71393,null,Marinas
71394,null,Fitness and recreational sports centers
71395,null,Bowling centers
71399,null,All other amusement and recreation industries
72111,null,Hotels (except casino hotels) and motels
72112,null,Casino hotels
72119,null,Other traveler accommodation
72121,null,RV (recreational vehicle) parks and recreational camps
72131,null,Rooming and boarding houses
72211,null,Full-service restaurants
72221,null,Limited-service eating places
72231,null,Food service contractors
72232,null,Caterers
72233,null,Mobile food services
72241,null,Drinking places (alcoholic beverages)
81111,null,Automotive mechanical and electrical repair and maintenance
81112,null,"Automotive body, paint, interior, and glass repair"
81119,null,Other automotive repair and maintenance
81121,null,Electronic and precision equipment repair and maintenance
81131,null,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance
81141,null,Home and garden equipment and appliance repair and maintenance
81142,null,Reupholstery and furniture repair
81143,null,Footwear and leather goods repair
81149,null,Other personal and household goods repair and maintenance
81211,null,"Hair, nail, and skin care services"
81219,null,Other personal care services
81221,null,Funeral homes and funeral services
81222,null,Cemeteries and crematories
81231,null,Coin-operated laundries and drycleaners
81232,null,Drycleaning and laundry services (except coin-operated)
81233,null,Linen and uniform supply
81291,null,Pet care (except veterinary) services
81292,null,Photofinishing
81293,null,Parking lots and garages
81299,null,All other personal services
81321,null,Grantmaking and giving services
81331,null,Social advocacy organizations
81341,null,Civic and social organizations
81391,null,Business associations
81392,null,Professional organizations
81399,null,"Other similar organizations (except business, professional, labor, and political organizations)"
211111,null,Crude petroleum and natural gas extraction
211112,null,Natural gas liquid extraction
212111,null,Bituminous coal and lignite surface mining
212112,null,Bituminous coal underground mining
212113,null,Anthracite mining
212210,null,Iron ore mining
212221,null,Gold ore mining
212222,null,Silver ore mining
212231,null,Lead ore and zinc ore mining
212234,null,Copper ore and nickel ore mining
212291,null,Uranium-radium-vanadium ore mining
212299,null,All other metal ore mining
212311,null,Dimension stone mining and quarrying
212312,null,Crushed and broken limestone mining and quarrying
212313,null,Crushed and broken granite mining and quarrying
212319,null,Other crushed and broken stone mining and quarrying
212321,null,Construction sand and gravel mining
212322,null,Industrial sand mining
212324,null,Kaolin and ball clay mining
212325,null,Clay and ceramic and refractory minerals mining
212391,null,"Potash, soda, and borate mineral mining"
212392,null,Phosphate rock mining
212393,null,Other chemical and fertilizer mineral mining
212399,null,All other nonmetallic mineral mining
213111,null,Drilling oil and gas wells
213112,null,Support activities for oil and gas operations
213113,null,Support activities for coal mining
213114,null,Support activities for metal mining
213115,null,Support activities for nonmetallic minerals (except fuels) mining
221111,null,Hydroelectric power generation
221112,null,Fossil fuel electric power generation
221113,null,Nuclear electric power generation
221119,null,Other electric power generation
221121,null,Electric bulk power transmission and control
221122,null,Electric power distribution
221210,null,Natural gas distribution
221310,null,Water supply and irrigation systems
221320,null,Sewage treatment facilities
221330,null,Steam and air-conditioning supply
236115,null,New single-family housing construction (except for-sale builders)
236116,null,New multifamily housing construction (except for-sale builders)
236117,null,New housing for-sale builders
236118,null,Residential remodelers
236210,null,Industrial building construction
236220,null,Commercial and institutional building construction
237110,null,Water and sewer line and related structures construction
237120,null,Oil and gas pipeline and related structures construction
237130,null,Power and communication line and related structures construction
237210,null,Land subdivision
237310,null,"Highway, street, and bridge construction"
237990,null,Other heavy and civil engineering construction
238110,null,Poured concrete foundation and structure contractors
238120,null,Structural steel and precast concrete contractors
238130,null,Framing contractors
238140,null,Masonry contractors
238150,null,Glass and glazing contractors
238160,null,Roofing contractors
238170,null,Siding contractors
238190,null,"Other foundation, structure, and building exterior contractors"
238210,null,Electrical contractors and other wiring installation contractors
238220,null,"Plumbing, heating, and air-conditioning contractors"
238290,null,Other building equipment contractors
238310,null,Drywall and insulation contractors
238320,null,Painting and wall covering contractors
238330,null,Flooring contractors
238340,null,Tile and terrazzo contractors
238350,null,Finish carpentry contractors
238390,null,Other building finishing contractors
238910,null,Site preparation contractors
238990,null,All other specialty trade contractors
311111,null,Dog and cat food manufacturing
311119,null,Other animal food manufacturing
311211,null,Flour milling
311212,null,Rice milling
311213,null,Malt manufacturing
311221,null,Wet corn milling
311222,null,Soybean processing
311223,null,Other oilseed processing
311225,null,Fats and oils refining and blending
311230,null,Breakfast cereal manufacturing
311311,null,Sugarcane mills
311312,null,Cane sugar refining
311313,null,Beet sugar manufacturing
311320,null,Chocolate and confectionery manufacturing from cacao beans
311330,null,Confectionery manufacturing from purchased chocolate
311340,null,Nonchocolate confectionery manufacturing
311411,null,"Frozen fruit, juice, and vegetable manufacturing"
311412,null,Frozen specialty food manufacturing
311421,null,Fruit and vegetable canning
311422,null,Specialty canning
311423,null,Dried and dehydrated food manufacturing
311511,null,Fluid milk manufacturing
311512,null,Creamery butter manufacturing
311513,null,Cheese manufacturing
311514,null,"Dry, condensed, and evaporated dairy product manufacturing"
311520,null,Ice cream and frozen dessert manufacturing
311611,null,Animal (except poultry) slaughtering
311612,null,Meat processed from carcasses
311613,null,Rendering and meat byproduct processing
311615,null,Poultry processing
311711,null,Seafood canning
311712,null,Fresh and frozen seafood processing
311811,null,Retail bakeries
311812,null,Commercial bakeries
311813,null,"Frozen cakes, pies, and other pastries manufacturing"
311821,null,Cookie and cracker manufacturing
311822,null,Flour mixes and dough manufacturing from purchased flour
311823,null,Dry pasta manufacturing
311830,null,Tortilla manufacturing
311911,null,Roasted nuts and peanut butter manufacturing
311919,null,Other snack food manufacturing
311920,null,Coffee and tea manufacturing
311930,null,Flavoring syrup and concentrate manufacturing
311941,null,"Mayonnaise, dressing, and other prepared sauce manufacturing"
311942,null,Spice and extract manufacturing
311991,null,Perishable prepared food manufacturing
311999,null,All other miscellaneous food manufacturing
312111,null,Soft drink manufacturing
312112,null,Bottled water manufacturing
312113,null,Ice manufacturing
312120,null,Breweries
312130,null,Wineries
312140,null,Distilleries
312210,null,Tobacco stemming and redrying
312221,null,Cigarette manufacturing
312229,null,Other tobacco product manufacturing
313111,null,Yarn spinning mills
313112,null,"Yarn texturizing, throwing, and twisting mills"
313113,null,Thread mills
313210,null,Broadwoven fabric mills
313221,null,Narrow fabric mills
313222,null,Schiffli machine embroidery
313230,null,Nonwoven fabric mills
313241,null,Weft knit fabric mills
313249,null,Other knit fabric and lace mills
313311,null,Broadwoven fabric finishing mills
313312,null,Textile and fabric finishing (except broadwoven fabric) mills
313320,null,Fabric coating mills
314110,null,Carpet and rug mills
314121,null,Curtain and drapery mills
314129,null,Other household textile product mills
314911,null,Textile bag mills
314912,null,Canvas and related product mills
314991,null,"Rope, cordage, and twine mills"
314992,null,Tire cord and tire fabric mills
314999,null,All other miscellaneous textile product mills
315111,null,Sheer hosiery mills
315119,null,Other hosiery and sock mills
315191,null,Outerwear knitting mills
315192,null,Underwear and nightwear knitting mills
315211,null,Men's and boys' cut and sew apparel contractors
315212,null,"Women's, girls', and infants' cut and sew apparel contractors"
315221,null,Men's and boys' cut and sew underwear and nightwear manufacturing
315222,null,"Men's and boys' cut and sew suit, coat, and overcoat manufacturing"
315223,null,Men's and boys' cut and sew shirt (except work shirt) manufacturing
315224,null,"Men's and boys' cut and sew trouser, slack, and jean manufacturing"
315225,null,Men's and boys' cut and sew work clothing manufacturing
315228,null,Men's and boys' cut and sew other outerwear manufacturing
315231,null,"Women's and girls' cut and sew lingerie, loungewear, and nightwear manufacturing"
315232,null,Women's and girls' cut and sew blouse and shirt manufacturing
315233,null,Women's and girls' cut and sew dress manufacturing
315234,null,"Women's and girls' cut and sew suit, coat, tailored jacket, and skirt manufacturing"
315239,null,Women's and girls' cut and sew other outerwear manufacturing
315291,null,Infants' cut and sew apparel manufacturing
315292,null,Fur and leather apparel manufacturing
315299,null,All other cut and sew apparel manufacturing
315991,null,"Hat, cap, and millinery manufacturing"
315992,null,Glove and mitten manufacturing
315993,null,Men's and boys' neckwear manufacturing
315999,null,Other apparel accessories and other apparel manufacturing
316110,null,Leather and hide tanning and finishing
316211,null,Rubber and plastics footwear manufacturing
316213,null,Men's footwear (except athletic) manufacturing
316214,null,Women's footwear (except athletic) manufacturing
316219,null,Other footwear manufacturing
316991,null,Luggage manufacturing
316992,null,Women's handbag and purse manufacturing
316993,null,Personal leather good (except women's handbag and purse) manufacturing
316999,null,All other leather good and allied product manufacturing
321113,null,Sawmills
321114,null,Wood preservation
321211,null,Hardwood veneer and plywood manufacturing
321212,null,Softwood veneer and plywood manufacturing
321213,null,Engineered wood member (except truss) manufacturing
321214,null,Truss manufacturing
321219,null,Reconstituted wood product manufacturing
321911,null,Wood window and door manufacturing
321912,null,"Cut stock, resawing lumber, and planing"
321918,null,Other millwork (including flooring)
321920,null,Wood container and pallet manufacturing
321991,null,Manufactured home (mobile home) manufacturing
321992,null,Prefabricated wood building manufacturing
321999,null,All other miscellaneous wood product manufacturing
322110,null,Pulp mills
322121,null,Paper (except newsprint) mills
322122,null,Newsprint mills
322130,null,Paperboard mills
322211,null,Corrugated and solid fiber box manufacturing
322212,null,Folding paperboard box manufacturing
322213,null,Setup paperboard box manufacturing
322214,null,"Fiber can, tube, drum, and similar products manufacturing"
322215,null,Nonfolding sanitary food container manufacturing
322221,null,Coated and laminated packaging paper manufacturing
322222,null,Coated and laminated paper manufacturing
322223,null,Coated paper bag and pouch manufacturing
322224,null,Uncoated paper and multiwall bag manufacturing
322225,null,Laminated aluminum foil manufacturing for flexible packaging uses
322226,null,Surface-coated paperboard manufacturing
322231,null,Die-cut paper and paperboard office supplies manufacturing
322232,null,Envelope manufacturing
322233,null,"Stationery, tablet, and related product manufacturing"
322291,null,Sanitary paper product manufacturing
322299,null,All other converted paper product manufacturing
323110,null,Commercial lithographic printing
323111,null,Commercial gravure printing
323112,null,Commercial flexographic printing
323113,null,Commercial screen printing
323114,null,Quick printing
323115,null,Digital printing
323116,null,Manifold business forms printing
323117,null,Books printing
323118,null,"Blankbook, looseleaf binders, and devices manufacturing"
323119,null,Other commercial printing
323121,null,Tradebinding and related work
323122,null,Prepress services
324110,null,Petroleum refineries
324121,null,Asphalt paving mixture and block manufacturing
324122,null,Asphalt shingle and coating materials manufacturing
324191,null,Petroleum lubricating oil and grease manufacturing
324199,null,All other petroleum and coal products manufacturing
325110,null,Petrochemical manufacturing
325120,null,Industrial gas manufacturing
325131,null,Inorganic dye and pigment manufacturing
325132,null,Synthetic organic dye and pigment manufacturing
325181,null,Alkalies and chlorine manufacturing
325182,null,Carbon black manufacturing
325188,null,All other basic inorganic chemical manufacturing
325191,null,Gum and wood chemical manufacturing
325192,null,Cyclic crude and intermediate manufacturing
325193,null,Ethyl alcohol manufacturing
325199,null,All other basic organic chemical manufacturing
325211,null,Plastics material and resin manufacturing
325212,null,Synthetic rubber manufacturing
325221,null,Cellulosic organic fiber manufacturing
325222,null,Noncellulosic organic fiber manufacturing
325311,null,Nitrogenous fertilizer manufacturing
325312,null,Phosphatic fertilizer manufacturing
325314,null,Fertilizer (mixing only) manufacturing
325320,null,Pesticide and other agricultural chemical manufacturing
325411,null,Medicinal and botanical manufacturing
325412,null,Pharmaceutical preparation manufacturing
325413,null,In-vitro diagnostic substance manufacturing
325414,null,Biological product (except diagnostic) manufacturing
325510,null,Paint and coating manufacturing
325520,null,Adhesive manufacturing
325611,null,Soap and other detergent manufacturing
325612,null,Polish and other sanitation good manufacturing
325613,null,Surface active agent manufacturing
325620,null,Toilet preparation manufacturing
325910,null,Printing ink manufacturing
325920,null,Explosives manufacturing
325991,null,Custom compounding of purchased resins
325992,null,"Photographic film, paper, plate, and chemical manufacturing"
325998,null,All other miscellaneous chemical product and preparation manufacturing
326111,null,Plastics bag and pouch manufacturing
326112,null,Plastics packaging film and sheet (including laminated) manufacturing
326113,null,Unlaminated plastics film and sheet (except packaging) manufacturing
326121,null,Unlaminated plastics profile shape manufacturing
326122,null,Plastics pipe and pipe fitting manufacturing
326130,null,"Laminated plastics plate, sheet (except packaging), and shape manufacturing"
326140,null,Polystyrene foam product manufacturing
326150,null,Urethane and other foam product (except polystyrene) manufacturing
326160,null,Plastics bottle manufacturing
326191,null,Plastics plumbing fixture manufacturing
326192,null,Resilient floor covering manufacturing
326199,null,All other plastics product manufacturing
326211,null,Tire manufacturing (except retreading)
326212,null,Tire retreading
326220,null,Rubber and plastics hoses and belting manufacturing
326291,null,Rubber product manufacturing for mechanical use
326299,null,All other rubber product manufacturing
327111,null,Vitreous china plumbing fixture and china and earthenware bathroom accessories manufacturing
327112,null,"Vitreous china, fine earthenware, and other pottery product manufacturing"
327113,null,Porcelain electrical supply manufacturing
327121,null,Brick and structural clay tile manufacturing
327122,null,Ceramic wall and floor tile manufacturing
327123,null,Other structural clay product manufacturing
327124,null,Clay refractory manufacturing
327125,null,Nonclay refractory manufacturing
327211,null,Flat glass manufacturing
327212,null,Other pressed and blown glass and glassware manufacturing
327213,null,Glass container manufacturing
327215,null,Glass product manufacturing made of purchased glass
327310,null,Cement manufacturing
327320,null,Ready-mix concrete manufacturing
327331,null,Concrete block and brick manufacturing
327332,null,Concrete pipe manufacturing
327390,null,Other concrete product manufacturing
327410,null,Lime manufacturing
327420,null,Gypsum product manufacturing
327910,null,Abrasive product manufacturing
327991,null,Cut stone and stone product manufacturing
327992,null,Ground or treated mineral and earth manufacturing
327993,null,Mineral wool manufacturing
327999,null,All other miscellaneous nonmetallic mineral product manufacturing
331111,null,Iron and steel mills
331112,null,Electrometallurgical ferroalloy product manufacturing
331210,null,Iron and steel pipe and tube manufacturing from purchased steel
331221,null,Rolled steel shape manufacturing
331222,null,Steel wire drawing
331311,null,Alumina refining
331312,null,Primary aluminum production
331314,null,Secondary smelting and alloying of aluminum
331315,null,"Aluminum sheet, plate, and foil manufacturing"
331316,null,Aluminum extruded product manufacturing
331319,null,Other aluminum rolling and drawing
331411,null,Primary smelting and refining of copper
331419,null,Primary smelting and refining of nonferrous metal (except copper and aluminum)
331421,null,"Copper rolling, drawing, and extruding"
331422,null,Copper wire (except mechanical) drawing
331423,null,"Secondary smelting, refining, and alloying of copper"
331491,null,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying"
331492,null,"Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)"
331511,null,Iron foundries
331512,null,Steel investment foundries
331513,null,Steel foundries (except investment)
331521,null,Aluminum die-casting foundries
331522,null,Nonferrous (except aluminum) die-casting foundries
331524,null,Aluminum foundries (except die-casting)
331525,null,Copper foundries (except die-casting)
331528,null,Other nonferrous foundries (except die-casting)
332111,null,Iron and steel forging
332112,null,Nonferrous forging
332114,null,Custom roll forming
332115,null,Crown and closure manufacturing
332116,null,Metal stamping
332117,null,Powder metallurgy part manufacturing
332211,null,Cutlery and flatware (except precious) manufacturing
332212,null,Hand and edge tool manufacturing
332213,null,Saw blade and handsaw manufacturing
332214,null,"Kitchen utensil, pot, and pan manufacturing"
332311,null,Prefabricated metal building and component manufacturing
332312,null,Fabricated structural metal manufacturing
332313,null,Plate work manufacturing
332321,null,Metal window and door manufacturing
332322,null,Sheet metal work manufacturing
332323,null,Ornamental and architectural metal work manufacturing
332410,null,Power boiler and heat exchanger manufacturing
332420,null,Metal tank (heavy gauge) manufacturing
332431,null,Metal can manufacturing
332439,null,Other metal container manufacturing
332510,null,Hardware manufacturing
332611,null,Spring (heavy gauge) manufacturing
332612,null,Spring (light gauge) manufacturing
332618,null,Other fabricated wire product manufacturing
332710,null,Machine shops
332721,null,Precision turned product manufacturing
332722,null,"Bolt, nut, screw, rivet, and washer manufacturing"
332811,null,Metal heat treating
332812,null,"Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers"
332813,null,"Electroplating, plating, polishing, anodizing, and coloring"
332911,null,Industrial valve manufacturing
332912,null,Fluid power valve and hose fitting manufacturing
332913,null,Plumbing fixture fitting and trim manufacturing
332919,null,Other metal valve and pipe fitting manufacturing
332991,null,Ball and roller bearing manufacturing
332992,null,Small arms ammunition manufacturing
332993,null,Ammunition (except small arms) manufacturing
332994,null,Small arms manufacturing
332995,null,Other ordnance and accessories manufacturing
332996,null,Fabricated pipe and pipe fitting manufacturing
332997,null,Industrial pattern manufacturing
332998,null,Enameled iron and metal sanitary ware manufacturing
332999,null,All other miscellaneous fabricated metal product manufacturing
333111,null,Farm machinery and equipment manufacturing
333112,null,Lawn and garden tractor and home lawn and garden equipment manufacturing
333120,null,Construction machinery manufacturing
333131,null,Mining machinery and equipment manufacturing
333132,null,Oil and gas field machinery and equipment manufacturing
333210,null,Sawmill and woodworking machinery manufacturing
333220,null,Plastics and rubber industry machinery manufacturing
333291,null,Paper industry machinery manufacturing
333292,null,Textile machinery manufacturing
333293,null,Printing machinery and equipment manufacturing
333294,null,Food product machinery manufacturing
333295,null,Semiconductor machinery manufacturing
333298,null,All other industrial machinery manufacturing
333311,null,Automatic vending machine manufacturing
333312,null,"Commercial laundry, drycleaning, and pressing machine manufacturing"
333313,null,Office machinery manufacturing
333314,null,Optical instrument and lens manufacturing
333315,null,Photographic and photocopying equipment manufacturing
333319,null,Other commercial and service industry machinery manufacturing
333411,null,Air purification equipment manufacturing
333412,null,Industrial and commercial fan and blower manufacturing
333414,null,Heating equipment (except warm air furnaces) manufacturing
333415,null,Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing
333511,null,Industrial mold manufacturing
333512,null,Machine tool (metal cutting types) manufacturing
333513,null,Machine tool (metal forming types) manufacturing
333514,null,"Special die and tool, die set, jig, and fixture manufacturing"
333515,null,Cutting tool and machine tool accessory manufacturing
333516,null,Rolling mill machinery and equipment manufacturing
333518,null,Other metalworking machinery manufacturing
333611,null,Turbine and turbine generator set units manufacturing
333612,null,"Speed changer, industrial high-speed drive, and gear manufacturing"
333613,null,Mechanical power transmission equipment manufacturing
333618,null,Other engine equipment manufacturing
333911,null,Pump and pumping equipment manufacturing
333912,null,Air and gas compressor manufacturing
333913,null,Measuring and dispensing pump manufacturing
333921,null,Elevator and moving stairway manufacturing
333922,null,Conveyor and conveying equipment manufacturing
333923,null,"Overhead traveling crane, hoist, and monorail system manufacturing"
333924,null,"Industrial truck, trailer, and stacker machinery manufacturing"
333991,null,Power-driven handtool manufacturing
333992,null,Welding and soldering equipment manufacturing
333993,null,Packaging machinery manufacturing
333994,null,Industrial process furnace and oven manufacturing
333995,null,Fluid power cylinder and actuator manufacturing
333996,null,Fluid power pump and motor manufacturing
333997,null,Scale and balance manufacturing
333999,null,All other miscellaneous general purpose machinery manufacturing
334111,null,Electronic computer manufacturing
334112,null,Computer storage device manufacturing
334113,null,Computer terminal manufacturing
334119,null,Other computer peripheral equipment manufacturing
334210,null,Telephone apparatus manufacturing
334220,null,Radio and television broadcasting and wireless communications equipment manufacturing
334290,null,Other communications equipment manufacturing
334310,null,Audio and video equipment manufacturing
334411,null,Electron tube manufacturing
334412,null,Bare printed circuit board manufacturing
334413,null,Semiconductor and related device manufacturing
334414,null,Electronic capacitor manufacturing
334415,null,Electronic resistor manufacturing
334416,null,"Electronic coil, transformer, and other inductor manufacturing"
334417,null,Electronic connector manufacturing
334418,null,Printed circuit assembly (electronic assembly) manufacturing
334419,null,Other electronic component manufacturing
334510,null,Electromedical and electrotherapeutic apparatus manufacturing
334511,null,"Search, detection, navigation, guidance, aeronautical, and nautical system and instrument manufacturing"
334512,null,"Automatic environmental control manufacturing for residential, commercial, and appliance use"
334513,null,"Instruments and related products manufacturing for measuring, displaying, and controlling industrial process variables"
334514,null,Totalizing fluid meter and counting device manufacturing
334515,null,Instrument manufacturing for measuring and testing electricity and electrical systems
334516,null,Analytical laboratory instrument manufacturing
334517,null,Irradiation apparatus manufacturing
334518,null,"Watch, clock, and part manufacturing"
334519,null,Other measuring and controlling device manufacturing
334611,null,Software reproducing
334612,null,"Prerecorded compact disc (except software), tape, and record reproducing"
334613,null,Magnetic and optical recording media manufacturing
335110,null,Electric lamp bulb and part manufacturing
335121,null,Residential electric lighting fixture manufacturing
335122,null,"Commercial, industrial, and institutional electric lighting fixture manufacturing"
335129,null,Other lighting equipment manufacturing
335211,null,Electric housewares and household fan manufacturing
335212,null,Household vacuum cleaner manufacturing
335221,null,Household cooking appliance manufacturing
335222,null,Household refrigerator and home freezer manufacturing
335224,null,Household laundry equipment manufacturing
335228,null,Other major household appliance manufacturing
335311,null,"Power, distribution, and specialty transformer manufacturing"
335312,null,Motor and generator manufacturing
335313,null,Switchgear and switchboard apparatus manufacturing
335314,null,Relay and industrial control manufacturing
335911,null,Storage battery manufacturing
335912,null,Primary battery manufacturing
335921,null,Fiber optic cable manufacturing
335929,null,Other communication and energy wire manufacturing
335931,null,Current-carrying wiring device manufacturing
335932,null,Noncurrent-carrying wiring device manufacturing
335991,null,Carbon and graphite product manufacturing
335999,null,All other miscellaneous electrical equipment and component manufacturing
336111,null,Automobile manufacturing
336112,null,Light truck and utility vehicle manufacturing
336120,null,Heavy duty truck manufacturing
336211,null,Motor vehicle body manufacturing
336212,null,Truck trailer manufacturing
336213,null,Motor home manufacturing
336214,null,Travel trailer and camper manufacturing
